dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-toys-and-games,valid,62573,14,4,0.2857142857142857,0.5,0.825,-0.008080214262008667,-0.0055137574672698975,0.0025664567947387695,0.0,nan
amazon-toys-and-games,valid,62706,13,3,0.23076923076923078,0.35,0.4,0.13215218484401703,0.09819100797176361,-0.03396117687225342,0.0,nan
amazon-toys-and-games,valid,68005,66,56,0.8484848484848485,0.7,0.525,0.010449737310409546,0.035586923360824585,0.02513718605041504,0.3787878787878788,-0.06
amazon-toys-and-games,valid,68250,17,7,0.4117647058823529,0.35,0.275,0.014474809169769287,0.00227200984954834,-0.012202799320220947,0.23529411764705882,-0.225
amazon-toys-and-games,valid,73048,16,6,0.375,0.1,0.425,-0.034754037857055664,-0.053870439529418945,-0.01911640167236328,0.3125,-0.1
amazon-toys-and-games,valid,73734,14,4,0.2857142857142857,0.3,0.25,-0.03171458840370178,-0.02130267024040222,0.01041191816329956,0.0,nan
amazon-toys-and-games,valid,73929,13,3,0.23076923076923078,0.75,0.875,0.07286030054092407,0.06561067700386047,-0.007249623537063599,0.07692307692307693,-0.15
amazon-toys-and-games,valid,78998,39,29,0.7435897435897436,0.9,0.925,0.13376209139823914,0.17158150672912598,0.03781941533088684,0.2564102564102564,-0.16999999999999998
amazon-toys-and-games,valid,80689,34,24,0.7058823529411765,0.45,0.95,0.1350395679473877,0.072817862033844,-0.0622217059135437,0.17647058823529413,-0.049999999999999996
amazon-toys-and-games,valid,82613,19,9,0.47368421052631576,0.2,0.575,-0.054761260747909546,-0.04784812033176422,0.006913140416145325,0.10526315789473684,-0.05
amazon-toys-and-games,valid,86587,20,10,0.5,1.0,1.0,0.2447834312915802,0.23927634954452515,-0.005507081747055054,0.05,-0.05
amazon-toys-and-games,valid,87057,27,17,0.6296296296296297,0.5,1.0,0.048090577125549316,0.04306161403656006,-0.005028963088989258,0.14814814814814814,-0.025
amazon-toys-and-games,valid,87602,27,17,0.6296296296296297,1.0,0.95,0.0071258544921875,-0.009759247303009033,-0.016885101795196533,0.25925925925925924,-0.05714285714285714
amazon-toys-and-games,valid,88544,13,3,0.23076923076923078,0.75,0.425,0.35174742341041565,0.29849880933761597,-0.05324861407279968,0.15384615384615385,-0.05
amazon-toys-and-games,valid,96145,49,39,0.7959183673469388,0.25,0.525,0.0027546584606170654,-0.03378060460090637,-0.03653526306152344,0.42857142857142855,-0.016666666666666666
amazon-toys-and-games,valid,105156,16,6,0.375,0.9,0.275,0.04016256332397461,0.04271969199180603,0.002557128667831421,0.25,-0.025
amazon-toys-and-games,valid,106359,11,1,0.09090909090909091,0.7,0.425,0.11865788698196411,0.11554703116416931,-0.0031108558177948,0.0,nan
amazon-toys-and-games,valid,106721,12,2,0.16666666666666666,1.0,0.9,0.2334815263748169,0.243637353181839,0.010155826807022095,0.0,nan
amazon-toys-and-games,valid,112069,18,8,0.4444444444444444,0.45,0.4,0.023417145013809204,0.01550266146659851,-0.007914483547210693,0.2222222222222222,-0.0875
amazon-toys-and-games,valid,112139,13,3,0.23076923076923078,0.75,0.875,-0.027009963989257812,-0.0030701160430908203,0.023939847946166992,0.0,nan
amazon-toys-and-games,valid,113065,11,1,0.09090909090909091,0.1,0.45,-0.06988933682441711,-0.07304321229457855,-0.003153875470161438,0.0,nan
amazon-toys-and-games,valid,114228,27,17,0.6296296296296297,1.0,0.95,0.101925790309906,0.11118948459625244,0.009263694286346436,0.18518518518518517,0.5599999999999999
amazon-toys-and-games,valid,116607,12,2,0.16666666666666666,0.2,0.425,-0.0823473334312439,-0.07975813746452332,0.002589195966720581,0.08333333333333333,-0.05
amazon-toys-and-games,valid,117845,12,2,0.16666666666666666,1.0,1.0,0.4906255006790161,0.48000162839889526,-0.01062387228012085,0.0,nan
amazon-toys-and-games,valid,119345,17,7,0.4117647058823529,0.3,0.325,0.025746583938598633,-0.005513012409210205,-0.03125959634780884,0.29411764705882354,-0.04
amazon-toys-and-games,valid,122232,19,9,0.47368421052631576,0.05,0.5,-0.03044717013835907,-0.025624319911003113,0.004822850227355957,0.47368421052631576,-0.07222222222222224
amazon-toys-and-games,valid,123925,11,1,0.09090909090909091,1.0,0.5,0.2794863283634186,0.26934537291526794,-0.010140955448150635,0.0,nan
amazon-toys-and-games,valid,127933,12,2,0.16666666666666666,0.35,0.85,-0.006325870752334595,-0.009288996458053589,-0.002963125705718994,0.0,nan
amazon-toys-and-games,valid,129596,24,14,0.5833333333333334,0.8,0.225,0.22363120317459106,0.12811020016670227,-0.0955210030078888,0.375,-0.13333333333333336
amazon-toys-and-games,valid,131359,30,20,0.6666666666666666,0.95,0.775,0.08841472864151001,0.08095669746398926,-0.007458031177520752,0.4666666666666667,-0.06785714285714287
amazon-toys-and-games,valid,136756,12,2,0.16666666666666666,0.55,0.35,0.02072352170944214,0.008309245109558105,-0.012414276599884033,0.08333333333333333,0.0
amazon-toys-and-games,valid,138304,11,1,0.09090909090909091,0.85,0.45,0.2005348652601242,0.19478106498718262,-0.005753800272941589,0.09090909090909091,0.0
amazon-toys-and-games,valid,138680,11,1,0.09090909090909091,0.55,0.475,0.03677666187286377,0.03439334034919739,-0.002383321523666382,0.09090909090909091,0.0
amazon-toys-and-games,valid,142854,31,21,0.6774193548387096,0.55,0.65,-0.012311011552810669,0.005895376205444336,0.018206387758255005,0.25806451612903225,-0.05625
amazon-toys-and-games,valid,142998,14,4,0.2857142857142857,0.4,0.8,0.09967386722564697,0.06661200523376465,-0.033061861991882324,0.21428571428571427,0.15
amazon-toys-and-games,valid,143658,11,1,0.09090909090909091,0.35,0.475,0.23125195503234863,0.21358579397201538,-0.017666161060333252,0.09090909090909091,-0.1
amazon-toys-and-games,valid,144282,11,1,0.09090909090909091,0.1,0.475,-0.024357005953788757,-0.03222532570362091,-0.007868319749832153,0.0,nan
amazon-toys-and-games,valid,146735,35,25,0.7142857142857143,0.85,0.9,0.030260711908340454,0.06008484959602356,0.029824137687683105,0.4,-0.05
